Equipo,golesLocal,golesRecibidosLocal,golesVisitante,golesRecibidosVisitante
Ajax,1.5277777777777777,1.1111111111111112,1.105263157894737,1.6842105263157894
Atalanta,1.8333333333333333,0.6666666666666666,1.1666666666666667,1.5
Atletico,2.7222222222222223,0.5,0.9444444444444444,1.8888888888888888
Barcelona,2.4126984126984126,0.6825396825396826,1.5714285714285714,1.0317460317460319
Bayern,2.3684210526315788,0.631578947368421,1.3235294117647058,1.911764705882353
Benfica,1.3611111111111112,0.9722222222222222,0.8888888888888888,1.4444444444444444
Besiktas,0.6666666666666666,3.0,2.6666666666666665,1.0
Chelsea,2.2083333333333335,0.75,1.7291666666666667,0.8333333333333334
Club Brugge,0.0,0.0,0.0,0.0
Dortmund,1.6666666666666667,0.7878787878787878,1.1666666666666667,1.6111111111111112
Dynamo Kyiv,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666
Internazionale,1.5666666666666667,0.9,1.5925925925925926,1.1851851851851851
Juventus,1.8627450980392157,0.6666666666666666,1.0588235294117647,1.0784313725490196
Leipzig,1.4444444444444444,1.8888888888888888,2.111111111111111,1.1111111111111112
Liverpool,1.880952380952381,0.8571428571428571,1.0,1.119047619047619
LOSC,1.0,1.1333333333333333,1.0,4.0
Malmö,0.5,1.8333333333333333,0.3333333333333333,4.166666666666667
Man. City,2.2222222222222223,1.1481481481481481,0.8333333333333334,2.7222222222222223
Man. United,2.1578947368421053,0.8070175438596491,1.1428571428571428,0.8571428571428571
Milan,1.6470588235294117,0.9215686274509803,1.2352941176470589,1.1176470588235294
Paris,2.5555555555555554,0.6111111111111112,1.3333333333333333,1.7777777777777777
Porto,1.3783783783783783,1.0,1.4166666666666667,1.2777777777777777
Real Madrid,2.742424242424242,0.9090909090909091,1.7076923076923076,1.4153846153846155
Salzburg,0.0,0.0,0.0,0.0
Sevilla,1.9333333333333333,1.1333333333333333,2.0,1.4
Shakhtar Donetsk,1.9285714285714286,1.1428571428571428,1.2142857142857142,2.0
Sheriff,0.0,0.0,0.0,0.0
Sporting CP,1.3888888888888888,1.2222222222222223,1.2,2.4
Villarreal,1.0,1.2222222222222223,0.5555555555555556,1.2222222222222223
Wolfsburg,2.0,0.6666666666666666,1.0,1.3333333333333333
Young Boys,1.6666666666666667,0.6666666666666666,0.0,3.0
Zenit,1.2083333333333333,1.0416666666666667,1.4166666666666667,1.4166666666666667
